constituency,ac_number,candidate,party,votes,turnout,reserved,region,vote_share_%
Gummidipoondi,1,S.VIJAYAKUMAR,TVK,94320,,GEN,Chennai Metro,40.563903630624196
Gummidipoondi,1,SUDHAKAR.V,AIADMK,66375,,GEN,Chennai Metro,28.545685999604338
Gummidipoondi,1,T.J.GOVINDARAJAN,DMK,62492,,GEN,Chennai Metro,26.875736489450457
Gummidipoondi,1,"R.SRIDAR. B.L.,",NTK,4756,,GEN,Chennai Metro,2.04539785482664
Gummidipoondi,1,NOTA,NOTA,937,,GEN,Chennai Metro,0.4029726219454503
Gummidipoondi,1,M.JAGADEESAN,Bahujan Samaj Party,697,,GEN,Chennai Metro,0.29975658217286966
Gummidipoondi,1,SDK SANKAR,Aanaithinthiya Jananayaka Pathukappu Kazhagam,599,,GEN,Chennai Metro,0.2576100325990659
Gummidipoondi,1,G.RANJITH B.SC.L.L.B,IND,503,,GEN,Chennai Metro,0.21632361669003364
Gummidipoondi,1,K. CHANDRA SEKAR,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,336,,GEN,Chennai Metro,0.14450245568161293
Gummidipoondi,1,D.SUDHAKAR,IND,321,,GEN,Chennai Metro,0.13805145319582662
Gummidipoondi,1,M.KUMARAN,IND,260,,GEN,Chennai Metro,0.11181737642029571
Gummidipoondi,1,D.DINESH,IND,222,,GEN,Chennai Metro,0.09547483678963711
Gummidipoondi,1,V.SUDHAKAR,IND,217,,GEN,Chennai Metro,0.09332450262770835
Gummidipoondi,1,T.GOVINDAN,IND,206,,GEN,Chennai Metro,0.08859376747146507
Gummidipoondi,1,GOPAL.K,IND,177,,GEN,Chennai Metro,0.07612182933227823
Gummidipoondi,1,A.H. SIVA GANESH,IND,104,,GEN,Chennai Metro,0.04472695056811828
Ponneri,2,DR.RAVI.M.S,TVK,110439,,SC,Chennai Metro,48.690365445575544
Ponneri,2,DURAI CHANDRASEKAR,INC,54671,,SC,Chennai Metro,24.103359947799788
Ponneri,2,BALARAMAN.P,AIADMK,51468,,SC,Chennai Metro,22.691220753111512
Ponneri,2,RAJATHI.M,NTK,6676,,SC,Chennai Metro,2.943316036134539
Ponneri,2,NOTA,NOTA,865,,SC,Chennai Metro,0.3813613497987382
Ponneri,2,SANTHOSHKUMAR.J,Bahujan Samaj Party,615,,SC,Chennai Metro,0.2711413065043052
Ponneri,2,MALATHI.S,Tamizhaga Murpokku Makkal Katchi,371,,SC,Chennai Metro,0.16356654424893857
Ponneri,2,ASHOK PRIYADARSHAN,Desiya Makkal Sakthi Katchi,366,,SC,Chennai Metro,0.16136214338304994
Ponneri,2,RAJA.S,Vanchit Bahujan Aaghadi,299,,SC,Chennai Metro,0.13182317178014188
Ponneri,2,RAJASEKAR.J,IND,289,,SC,Chennai Metro,0.12741437004836456
Ponneri,2,NAGAIYAN.G,IND,232,,SC,Chennai Metro,0.10228420017723383
Ponneri,2,VENKATESAN.S,IND,203,,SC,Chennai Metro,0.0894986751550796
Ponneri,2,KOTTEESWARAN. K,Tamizhaga Vaazhvurimai Katchi,166,,SC,Chennai Metro,0.07318610874750352
Ponneri,2,BARATHIRAJA.K,IND,159,,SC,Chennai Metro,0.07009994753525939
Tiruttani,3,G.HARI,AIADMK,89169,,GEN,Chennai Metro,37.34076499803181
Tiruttani,3,M.SATHYA KUMAR,TVK,83376,,GEN,Chennai Metro,34.91486528362884
Tiruttani,3,D.KRISHNAMURTHY,DMDK,54863,,GEN,Chennai Metro,22.974648028877965
Tiruttani,3,CHANDRAN .S.S,NTK,6704,,GEN,Chennai Metro,2.8073936967646294
Tiruttani,3,NOTA,NOTA,1210,,GEN,Chennai Metro,0.5067044112597258
Tiruttani,3,KRISHNAMOORTHY.M,IND,946,,GEN,Chennai Metro,0.3961507215303311
Tiruttani,3,JAMBU.B,IND,628,,GEN,Chennai Metro,0.2629837770835602
Tiruttani,3,MUTHURAJ.G,Bahujan Samaj Party,470,,GEN,Chennai Metro,0.1968190688364224
Tiruttani,3,KRISHNAMOORTHY.D,IND,467,,GEN,Chennai Metro,0.1955627769076793
Tiruttani,3,BALAJI.A,Thakkam Katchi,272,,GEN,Chennai Metro,0.11390380153937638
Tiruttani,3,KRISHNAMOORTHY.K,IND,210,,GEN,Chennai Metro,0.08794043501201854
Tiruttani,3,DR.A.V.NARENDRAN,IND,198,,GEN,Chennai Metro,0.08291526729704604
Tiruttani,3,SHETTU.S,IND,153,,GEN,Chennai Metro,0.06407088836589922
Tiruttani,3,PAVENDHAN.Y.R,Tamizhaga Vaazhvurimai Katchi,132,,GEN,Chennai Metro,0.055276844864697354
Thiruvallur,4,DR. T. ARUNKUMAR,TVK,92190,,GEN,Chennai Metro,40.71492924903281
Thiruvallur,4,V.G. RAAJENDRAN,DMK,67430,,GEN,Chennai Metro,29.77988587983818
Thiruvallur,4,BE  VEE RAMANAH,AIADMK,56562,,GEN,Chennai Metro,24.98012613281043
Thiruvallur,4,K. SENTHILKUMAR,NTK,5513,,GEN,Chennai Metro,2.4347695514688996
Thiruvallur,4,NOTA,NOTA,1132,,GEN,Chennai Metro,0.49993817019096576
Thiruvallur,4,S. RAJENDRAN,IND,868,,GEN,Chennai Metro,0.383344816012154
Thiruvallur,4,B. RAJESH KUMAR,Bahujan Samaj Party,674,,GEN,Chennai Metro,0.29766636635045135
Thiruvallur,4,E. MANI,Republican Party of India (Athawale),653,,GEN,Chennai Metro,0.2883918949953186
Thiruvallur,4,N. VENKATESAN,Aanaithinthiya Jananayaka Pathukappu Kazhagam,354,,GEN,Chennai Metro,0.1563410885579522
Thiruvallur,4,G. RAJENDIRAN,IND,227,,GEN,Chennai Metro,0.1002526189340541
Thiruvallur,4,E.KOTHANDAN,IND,203,,GEN,Chennai Metro,0.08965322309961665
Thiruvallur,4,N. BALAKRISHNAN,IND,186,,GEN,Chennai Metro,0.08214531771689014
